Supplier_Area_ID,Industrial_Name,Industrial_province,geolocation_lat,geolocation_lng,Supplier_Area
KCN001,KCN SONG THAN,BINH DUONG,10.8916511,106.7473034,South
KCN002,KCN PHUOC DONG,TAY NINH,11.130071,106.3409489,South
KCN003,KCN DONG XOAI 1,BINH PHUOC,11.518359,106.8022471,South
KCN004,KCN NAM TAN UYEN,BINH DUONG,11.0506952,106.7543362,South
KCN005,KCN HOA KHANH,DA NANG,16.0826043,108.0919785,"South Central Coast	"
KCN006,KCN LIEN CHIEU,DA NANG,16.1274941,108.1190961,"South Central Coast	"
KCN007,KCN YEN PHONG,BAC NINH,21.1968976,105.9911668,North
KCN008,KCN TU HA,HUE,16.5184258,107.4015969,"South Central Coast	"
KCN009,KCN HOA LAC,HA NOI,21.0121235,105.5163,North
KCN010,KCN KHAI QUANG,VINH PHUC,21.2926703,105.6300839,North
