Payee_ID,Internal Code
SP001,AWIC1909
SP001,AWIC1911
SP001,AWIC2037
SP001,AWIC2202
SP001,DIRT1910
SP001,DIRT1913
SP001,DIRT2008
SP001,DIRT2013
SP001,FECA01
SP001,POOR1909
SP001,POOR2005
SP001,POOR2010
SP001,POOR2101
SP001,POOR2108
SP001,POOR2109
SP001,QUII2219
SP001,ROSE2101
SP001,SAUE1901
SP001,TOGO2202
SP001,TOGO2208
SP001,XOTU2202
SP001,XOTU2203
SP001,XOTU2204
SP001,XOTU2205
SP001,XOTU2206
SP001,YULH2135
SP002,ANVA2101
SP002,LAAB1905
SP002,QUII2206
SP002,QUII2207
SP002,QUII2210
SP002,SMAR2202
SP003,ANVA1905
SP003,LAAB1905
SP003,LAAB2101
SP003,LAAB2106
SP004,ZOOB1901
SP004,ZOOB1902
SP004,ZOOB1904
SP004,ZOOB1905
SP004,ZOOB1906
SP004,ZOOB1914
SP004,ZOOB1917
SP004,ZOOB1918
SP004,ZOOB2209
SP004,ZOOB2217
SP005,AWIC1906
SP005,AWIC1911
SP005,AWIC1913
SP005,AWIC1914
SP005,AWIC1915
SP005,AWIC1918
SP005,AWIC1922
SP005,AWIC1923
SP005,AWIC1928
SP005,AWIC1930
SP005,AWIC1931
SP005,AWIC2001
SP005,AWIC2002
SP005,AWIC2003
SP005,AWIC2004
SP005,AWIC2005
SP005,AWIC2006
SP005,AWIC2007
SP005,AWIC2008
SP005,AWIC2009
SP005,AWIC2010
SP005,AWIC2011
SP005,AWIC2013
SP005,AWIC2014
SP005,AWIC2015
SP005,ZAYN2020
SP005,ZAYN2204
SP006,DIRT1902
SP006,DIRT1908
SP006,DIRT1909
SP006,DIRT1910
SP006,DIRT1913
SP006,DIRT1914
SP006,DIRT1915
SP006,DIRT2002
SP006,DIRT2003
SP006,DIRT2008
SP006,DIRT2013
SP006,DIRT2014
SP006,DIRT2015
SP006,DIRT2017
SP006,DIRT2018
SP006,DIRT2108
SP006,DIRT2207
SP006,E02-DIRT
SP006,TACS1901
SP006,TACS2003
SP006,TACS2006
SP007,AWIC1902
SP007,AWIC1906
SP007,AWIC1918
SP007,AWIC1930
SP007,AWIC2013
SP007,AWIC2019
SP007,AWIC2022
SP007,AWIC2023
SP007,AWIC2025
SP007,AWIC2028
SP007,AWIC2030
SP007,AWIC2036
SP007,AWIC2037
SP007,AWIC2042
SP007,AWIC2043
SP007,AWIC2044
SP007,AWIC2046
SP007,AWIC2049
SP007,AWIC2050
SP007,AWIC2056
SP007,AWIC2101
SP007,AWIC2103
SP007,AWIC2110
SP007,AWIC2114
SP007,AWIC2120
SP007,AWIC2125
SP007,BAHO2202
SP007,BAHO2203
SP007,POOR2104
SP007,TOUB1905
SP007,TOUB1910
SP007,YULH2036
SP007,ZAYN2101
SP007,ZAYN2202
SP008,YULH1901
SP008,YULH1902
SP008,YULH1903
SP008,YULH1905
SP008,YULH1906
SP008,YULH1907
